filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1611.ps1,malicious,malicious,BLOCK,BLOCK,7.2265625,True,152,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
4030.ps1,malicious,malicious,BLOCK,BLOCK,8.90625,True,152,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1011.ps1,malicious,malicious,BLOCK,BLOCK,9.2734375,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
2833.ps1,malicious,malicious,BLOCK,BLOCK,9.2734375,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
3414.ps1,malicious,malicious,BLOCK,BLOCK,9.2734375,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1515.ps1,malicious,malicious,BLOCK,BLOCK,9.453125,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1839.ps1,malicious,malicious,BLOCK,BLOCK,9.3671875,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1931.ps1,malicious,malicious,BLOCK,BLOCK,9.3671875,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
3671.ps1,malicious,malicious,BLOCK,BLOCK,9.3671875,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
2227.ps1,malicious,malicious,BLOCK,BLOCK,10.1328125,True,147,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
3545.ps1,malicious,malicious,BLOCK,BLOCK,8.4609375,True,146,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1946.ps1,malicious,malicious,BLOCK,BLOCK,8.03125,True,144,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
3426.ps1,malicious,malicious,BLOCK,BLOCK,7.296875,True,143,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1693.ps1,malicious,malicious,BLOCK,BLOCK,9.21875,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
179.ps1,malicious,malicious,BLOCK,BLOCK,8.359375,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
2294.ps1,malicious,malicious,BLOCK,BLOCK,8.90625,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
2713.ps1,malicious,malicious,BLOCK,BLOCK,7.546875,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
2920.ps1,malicious,malicious,BLOCK,BLOCK,6.421875,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1399.ps1,malicious,malicious,BLOCK,BLOCK,9.2109375,True,140,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.6875,False,975,False
1269.ps1,malicious,malicious,BLOCK,BLOCK,9.8671875,True,139,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
3084.ps1,malicious,malicious,BLOCK,BLOCK,7.3125,True,150,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
3278.ps1,malicious,malicious,BLOCK,BLOCK,6.875,True,127,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
2190.ps1,malicious,malicious,BLOCK,BLOCK,4.46875,True,94,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
3804.ps1,malicious,malicious,BLOCK,BLOCK,4.46875,True,94,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
2894.ps1,malicious,malicious,BLOCK,BLOCK,4.5234375,True,87,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
3100.ps1,malicious,malicious,BLOCK,BLOCK,4.734375,True,81,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
3438.ps1,malicious,malicious,BLOCK,BLOCK,6.6015625,True,81,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
3062.ps1,malicious,malicious,BLOCK,BLOCK,7.9140625,True,78,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
338.ps1,malicious,malicious,BLOCK,BLOCK,8.375,True,78,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.203125,True,2146,False
450.ps1,malicious,malicious,BLOCK,BLOCK,3.75,True,75,False
1670.ps1,benign,benign,ALLOW,ALLOW,-0.21875,True,498,False
3780.ps1,malicious,malicious,BLOCK,BLOCK,4.8671875,True,499,False
1238.ps1,benign,malicious,ALLOW,BLOCK,1.015625,False,288,False
3537.ps1,malicious,malicious,BLOCK,BLOCK,4.859375,True,282,False
2781.ps1,benign,malicious,ALLOW,BLOCK,0.375,False,1062,False
1298.ps1,malicious,malicious,BLOCK,BLOCK,5.7109375,True,1084,False
2781.ps1,benign,malicious,ALLOW,BLOCK,0.375,False,1062,False
2546.ps1,malicious,malicious,BLOCK,BLOCK,5.7109375,True,1084,False
2781.ps1,benign,malicious,ALLOW,BLOCK,0.375,False,1062,False
