filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
1735.ps1,benign,benign,ALLOW,ALLOW,-2.0234375,True,952,False
3321.ps1,malicious,malicious,BLOCK,BLOCK,5.6640625,True,2527,False
2670.ps1,benign,benign,ALLOW,ALLOW,-2.7265625,True,975,False
137.ps1,malicious,malicious,BLOCK,BLOCK,11.015625,True,110,False
1113.ps1,benign,benign,ALLOW,ALLOW,-4.4296875,True,2146,False
450.ps1,malicious,malicious,BLOCK,BLOCK,3.3125,True,75,False
1238.ps1,benign,benign,ALLOW,ALLOW,-0.90625,True,288,False
3537.ps1,malicious,malicious,BLOCK,BLOCK,1.5078125,True,282,False
1670.ps1,benign,benign,ALLOW,ALLOW,-5.859375,True,498,False
3780.ps1,malicious,malicious,BLOCK,BLOCK,1.2734375,True,499,False
1444.ps1,benign,benign,ALLOW,ALLOW,-7.5234375,True,740,False
2139.ps1,malicious,malicious,BLOCK,BLOCK,5.421875,True,857,False
2781.ps1,benign,benign,ALLOW,ALLOW,-1.3671875,True,1062,False
2792.ps1,malicious,malicious,BLOCK,BLOCK,3.3203125,True,882,False
4207.ps1,benign,benign,ALLOW,ALLOW,-0.140625,True,1883,False
3988.ps1,malicious,malicious,BLOCK,BLOCK,3.3203125,True,882,False
1637.ps1,benign,benign,ALLOW,ALLOW,-3.203125,True,886,False
784.ps1,malicious,malicious,BLOCK,BLOCK,2.734375,True,73,False
329.ps1,benign,benign,ALLOW,ALLOW,-2.9609375,True,880,False
3335.ps1,malicious,malicious,BLOCK,BLOCK,8.1328125,True,299,False
