filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
3321__seed_04ae01372a3c__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.390625,True,2543,False
3321__seed_04ae01372a3c__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,4.6875,True,2549,False
3321__seed_04ae01372a3c__split_quoted_encodedcommand_literal.ps1,malicious,malicious,BLOCK,BLOCK,4.03125,True,2530,False
3943__seed_c7ebd5a8de5d__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,6.4375,True,2957,False
3943__seed_c7ebd5a8de5d__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,6.140625,True,2963,False
3943__seed_c7ebd5a8de5d__split_quoted_encodedcommand_literal.ps1,malicious,malicious,BLOCK,BLOCK,5.34375,True,2944,False
1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37__seed_3652acdb56d5__invoke_expression_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,6.03125,True,9993,False
1afa55af7c4a24da8651d273202024889d5766637d58a73e93f28afebf013b37-obf-out-obfuscatedast__seed_2ec1a3e97689__invoke_expression_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,6.3125,True,10114,False
137__seed_deed4f58b70d__start_process_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.15625,True,118,False
137__seed_deed4f58b70d__downloadfile_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,3.09375,True,140,False
bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7__seed_6f4b268bd776__start_process_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.5,True,121,False
bcd9fe7a98567679a87df68d07a1b9398df6db528abd28efe2336bc9f6fea7a7__seed_6f4b268bd776__downloadfile_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,3.9375,True,143,False
fec6779d4d6bd700f980dd3c7dfcb3c20665c15d4731e69e8576c1b43b898384__seed_a95975b607c4__start_process_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.4375,True,121,False
fec6779d4d6bd700f980dd3c7dfcb3c20665c15d4731e69e8576c1b43b898384__seed_a95975b607c4__downloadfile_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,3.59375,True,143,False
34dcf2a22fa7555de2ab95c3d8ab5605de01345b8d741491e1907ecd50a5ea1f__seed_15b1474c517d__start_process_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.75,True,122,False
34dcf2a22fa7555de2ab95c3d8ab5605de01345b8d741491e1907ecd50a5ea1f__seed_15b1474c517d__downloadfile_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,3.890625,True,144,False
fef9fdbb642fd0bebbc11aca6676ed8532eb3a5dd1c71eb38a260d4b21f9aaae__seed_a2a9f5be9c2a__start_process_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.125,True,122,False
fef9fdbb642fd0bebbc11aca6676ed8532eb3a5dd1c71eb38a260d4b21f9aaae__seed_a2a9f5be9c2a__downloadfile_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,3.421875,True,144,False
1927__seed_499ee93d35bf__start_process_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,6.34375,True,123,False
1927__seed_499ee93d35bf__downloadfile_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,5.546875,True,145,False
0f5e36a549a4ec6e0605f7310205ebdd5141c532959bd9bf5ee25f06560e7c18__seed_0c54b17ebe6b__start_process_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.390625,True,123,False
0f5e36a549a4ec6e0605f7310205ebdd5141c532959bd9bf5ee25f06560e7c18__seed_0c54b17ebe6b__downloadfile_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,3.71875,True,145,False
17dcaeeb7d93c8bc0150f4e1b471d81dd003be37bbaa6d2edf612dfb6a357dbc__seed_e8225ca71fe4__start_process_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.703125,True,123,False
17dcaeeb7d93c8bc0150f4e1b471d81dd003be37bbaa6d2edf612dfb6a357dbc__seed_e8225ca71fe4__downloadfile_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,4.140625,True,145,False
450__seed_09659d17cb23__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,1.59375,True,83,False
450__seed_09659d17cb23__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,1.671875,True,97,False
450__seed_09659d17cb23__downloadstring_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,0.09375,True,105,False
3062__seed_66f8f0994bce__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,6.828125,True,86,False
3062__seed_66f8f0994bce__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,5.328125,True,100,False
3062__seed_66f8f0994bce__downloadstring_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,3.109375,True,108,False
338__seed_109e3e5424a0__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,5.890625,True,86,False
338__seed_109e3e5424a0__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,5.421875,True,100,False
338__seed_109e3e5424a0__downloadstring_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,2.515625,True,108,False
cc76beb5bcf6880dee2d739a37e218871500d5d610c7989e7371b2594c2d594e__seed_36e17531a823__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,5.09375,True,88,False
cc76beb5bcf6880dee2d739a37e218871500d5d610c7989e7371b2594c2d594e__seed_36e17531a823__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,2.609375,True,102,False
cc76beb5bcf6880dee2d739a37e218871500d5d610c7989e7371b2594c2d594e__seed_36e17531a823__downloadstring_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,1.21875,True,110,False
3100__seed_eb139569f490__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,2.703125,True,89,False
3100__seed_eb139569f490__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,1.90625,True,103,False
3100__seed_eb139569f490__downloadstring_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,0.046875,True,111,False
3438__seed_dc2fdf741f87__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,5.921875,True,89,False
3438__seed_dc2fdf741f87__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,5.453125,True,103,False
3438__seed_dc2fdf741f87__downloadstring_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,2.03125,True,111,False
67508635020243fc67eb003f214fc569733988db121516a1571f3c8de2589864__seed_c61abb38370f__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,3.453125,True,98,False
67508635020243fc67eb003f214fc569733988db121516a1571f3c8de2589864__seed_c61abb38370f__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,4.0625,True,112,False
67508635020243fc67eb003f214fc569733988db121516a1571f3c8de2589864__seed_c61abb38370f__downloadstring_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,0.765625,True,120,False
f1f2958356c98c4d296a747490c067cc11cd53b2812e5d69846069aef6d9adb6__seed_e517072ea782__invoke_expression_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,2.09375,True,98,False
f1f2958356c98c4d296a747490c067cc11cd53b2812e5d69846069aef6d9adb6__seed_e517072ea782__invoke_expression_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,2.203125,True,98,False
f1f2958356c98c4d296a747490c067cc11cd53b2812e5d69846069aef6d9adb6__seed_e517072ea782__downloadstring_psobject_invoke.ps1,malicious,malicious,BLOCK,BLOCK,0.453125,True,120,False
231032778ec6e8baa7807ce3aeae9924bd62a36516d2655219d9334e0339c874__seed_0de74614c959__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.59375,True,150,False
231032778ec6e8baa7807ce3aeae9924bd62a36516d2655219d9334e0339c874__seed_0de74614c959__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,0.859375,True,164,False
f55369c6d50c5a57c0a54c0d1a1560c0601e17f08d64f94a0fea9eed9768beae__seed_a4fecca9d2bf__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,1.03125,True,35,False
93a790e0a65d0a47a7988e81f069c4c7044802c50848735dcaf0f6b0ef921dcd__seed_5f819bb0b3c0__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,2.0,True,43,False
784__seed_96df7e49f7a4__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,1.1875,True,95,False
2752__seed_2f848d678a4e__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,2.28125,True,104,False
26493876411716e344173fdfd39aa4e85e740361f53b92ef17eba897890c50e4__seed_93d76af29de1__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,2.078125,True,104,False
96d6a9c601102cb92802dfc3f8774cdc26fd778e1968de2eca6d0a4d2a873b4e__seed_28d4ebd2f1f6__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,2.171875,True,104,False
417a0be8ef6073897f81fa6912d3a203a9aea432e16af30fe32376671cfa0d44__seed_ae923919854c__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,3.34375,True,175,False
417a0be8ef6073897f81fa6912d3a203a9aea432e16af30fe32376671cfa0d44__seed_ae923919854c__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,3.3125,True,189,False
94601fc7759612cc1ce13844d6c26cd3ac2e547a1c96e87ae4e2b87a1c2c57e1__seed_58333cda3aa9__iex_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,4.5625,True,220,False
94601fc7759612cc1ce13844d6c26cd3ac2e547a1c96e87ae4e2b87a1c2c57e1__seed_58333cda3aa9__iex_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,4.5625,True,234,False
fc9da60ea75819923b8a947dfe2ac25422bc534ae45b680bb8b177cb2e90415d__seed_b29df5de3d49__invoke_expression_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,2.171875,True,955,False
2019__seed_a5cda033f923__invoke_expression_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,0.375,True,1181,False
2019__seed_a5cda033f923__invoke_expression_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,0.03125,True,1181,False
2789__seed_9467821f5750__invoke_expression_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,1.546875,True,1633,False
2789__seed_9467821f5750__invoke_expression_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,1.125,True,1633,False
809c76fa535ae6532ce29d85d8ca042036f4d0c3f4a536efecdf78e5b85e9c5b__seed_b425d8ade6ab__invoke_expression_call_operator_string.ps1,malicious,malicious,BLOCK,BLOCK,0.65625,True,1695,False
809c76fa535ae6532ce29d85d8ca042036f4d0c3f4a536efecdf78e5b85e9c5b__seed_b425d8ade6ab__invoke_expression_scriptblock_create.ps1,malicious,malicious,BLOCK,BLOCK,0.328125,True,1695,False
