trace_target_layer,trace_target_resid_kind,basis_label,layer,head,pair_idx,pair_indicator,benign_filename,malicious_filename,benign_projection,malicious_projection,delta_projection
13,pre,mean_delta,0,0,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.000873565673828125,-0.0005998611450195312,0.00027370452880859375
13,pre,mean_delta,0,1,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.001865386962890625,-0.0019702911376953125,-0.0001049041748046875
13,pre,mean_delta,0,2,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.003570556640625,0.0032596588134765625,-0.0003108978271484375
13,pre,mean_delta,0,3,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0022182464599609375,-0.0021953582763671875,2.288818359375e-05
13,pre,mean_delta,0,4,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00013124942779541016,-0.00010991096496582031,2.1338462829589844e-05
13,pre,mean_delta,0,5,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.00014889240264892578,0.0006775856018066406,0.0005286931991577148
13,pre,mean_delta,0,6,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0005359649658203125,-0.0005216598510742188,1.430511474609375e-05
13,pre,mean_delta,0,7,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0016698837280273438,-0.0018749237060546875,-0.00020503997802734375
13,pre,mean_delta,0,8,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.000370025634765625,0.0011148452758789062,0.0014848709106445312
13,pre,mean_delta,0,9,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.001495361328125,-0.0016498565673828125,-0.0001544952392578125
13,pre,mean_delta,0,10,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0001323223114013672,0.00031638145446777344,0.00018405914306640625
13,pre,mean_delta,0,11,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00034928321838378906,-0.0004870891571044922,-0.00013780593872070312
13,pre,mean_delta,0,12,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0017147064208984375,0.0010995864868164062,-0.0006151199340820312
13,pre,mean_delta,0,13,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0003647804260253906,-9.506940841674805e-05,-0.00045984983444213867
13,pre,mean_delta,0,14,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0020999908447265625,-0.00229644775390625,-0.0001964569091796875
13,pre,mean_delta,0,15,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,9.238719940185547e-06,-0.00024044513702392578,-0.00024968385696411133
13,pre,mean_delta,0,16,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0031719207763671875,-0.00127410888671875,0.0018978118896484375
13,pre,mean_delta,0,17,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.00074005126953125,-0.0011854171752929688,-0.0019254684448242188
13,pre,mean_delta,0,18,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-7.808208465576172e-05,0.00021147727966308594,0.00028955936431884766
13,pre,mean_delta,0,19,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,9.59634780883789e-06,0.0007524490356445312,0.0007428526878356934
13,pre,mean_delta,0,20,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.003643035888671875,-0.0035037994384765625,0.0001392364501953125
13,pre,mean_delta,0,21,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00464630126953125,-0.0046844482421875,-3.814697265625e-05
13,pre,mean_delta,0,22,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0008487701416015625,0.0006661415100097656,-0.00018262863159179688
13,pre,mean_delta,0,23,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.02105712890625,-0.0203704833984375,0.0006866455078125
13,pre,mean_delta,0,24,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0001552104949951172,0.00017523765563964844,0.0003304481506347656
13,pre,mean_delta,0,25,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00019276142120361328,-0.00042319297790527344,-0.00023043155670166016
13,pre,mean_delta,0,26,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,6.508827209472656e-05,-0.0002434253692626953,-0.0003085136413574219
13,pre,mean_delta,0,27,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0005292892456054688,-0.00023865699768066406,0.0002906322479248047
13,pre,mean_delta,0,28,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0050506591796875,-0.005096435546875,-4.57763671875e-05
13,pre,mean_delta,0,29,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0032596588134765625,-0.0032444000244140625,1.52587890625e-05
13,pre,mean_delta,0,30,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0037059783935546875,-0.003719329833984375,-1.33514404296875e-05
13,pre,mean_delta,0,31,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0035076141357421875,-0.0035076141357421875,0.0
13,pre,mean_delta,1,0,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0007853507995605469,0.00040411949157714844,-0.00038123130798339844
13,pre,mean_delta,1,1,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0004334449768066406,0.00043845176696777344,5.0067901611328125e-06
13,pre,mean_delta,1,2,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0023937225341796875,-0.0026264190673828125,-0.000232696533203125
13,pre,mean_delta,1,3,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0022716522216796875,0.0022525787353515625,-1.9073486328125e-05
13,pre,mean_delta,1,4,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0001971721649169922,0.00017261505126953125,-2.4557113647460938e-05
13,pre,mean_delta,1,5,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0002117156982421875,-0.00016629695892333984,-0.00037801265716552734
13,pre,mean_delta,1,6,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0008935928344726562,-0.0018463134765625,-0.0009527206420898438
13,pre,mean_delta,1,7,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00012934207916259766,-0.001522064208984375,-0.0013927221298217773
13,pre,mean_delta,1,8,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0014705657958984375,0.0011873245239257812,-0.00028324127197265625
13,pre,mean_delta,1,9,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0003180503845214844,0.0002868175506591797,-3.123283386230469e-05
13,pre,mean_delta,1,10,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0009160041809082031,0.00036406517028808594,-0.0005519390106201172
13,pre,mean_delta,1,11,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,2.384185791015625e-06,-0.0001480579376220703,-0.00015044212341308594
13,pre,mean_delta,1,12,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0020465850830078125,-0.0035152435302734375,-0.001468658447265625
13,pre,mean_delta,1,13,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0029296875,-0.0026702880859375,0.0002593994140625
13,pre,mean_delta,1,14,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.002429962158203125,-0.00232696533203125,0.000102996826171875
13,pre,mean_delta,1,15,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00215911865234375,-0.0019407272338867188,0.00021839141845703125
13,pre,mean_delta,1,16,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.00024306774139404297,0.000637054443359375,0.00039398670196533203
13,pre,mean_delta,1,17,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0003914833068847656,0.0003731250762939453,-1.8358230590820312e-05
13,pre,mean_delta,1,18,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0015916824340820312,-0.0017566680908203125,-0.00016498565673828125
13,pre,mean_delta,1,19,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.000438690185546875,-0.00042748451232910156,1.1205673217773438e-05
13,pre,mean_delta,1,20,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0023479461669921875,0.00269317626953125,0.0003452301025390625
13,pre,mean_delta,1,21,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.00152587890625,0.0016269683837890625,0.0001010894775390625
13,pre,mean_delta,1,22,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0009860992431640625,-0.0010423660278320312,-5.626678466796875e-05
13,pre,mean_delta,1,23,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0030422210693359375,0.0036144256591796875,0.00057220458984375
13,pre,mean_delta,1,24,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0012407302856445312,-0.001155853271484375,8.487701416015625e-05
13,pre,mean_delta,1,25,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00603485107421875,-0.005069732666015625,0.000965118408203125
13,pre,mean_delta,1,26,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0012454986572265625,0.0013713836669921875,0.000125885009765625
13,pre,mean_delta,1,27,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0018558502197265625,-0.0017452239990234375,0.000110626220703125
13,pre,mean_delta,1,28,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.0017366409301757812,0.00260162353515625,0.0008649826049804688
13,pre,mean_delta,1,29,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0001246929168701172,-0.0007781982421875,-0.0006535053253173828
13,pre,mean_delta,1,30,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.00042510032653808594,0.0004379749298095703,1.2874603271484375e-05
13,pre,mean_delta,1,31,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.00042319297790527344,0.00042819976806640625,5.0067901611328125e-06
13,pre,mean_delta,2,0,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,0.00034618377685546875,0.00048422813415527344,0.0001380443572998047
13,pre,mean_delta,2,1,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0006470680236816406,0.00040984153747558594,0.0010569095611572266
13,pre,mean_delta,2,2,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00047278404235839844,-0.0004649162292480469,7.867813110351562e-06
13,pre,mean_delta,2,3,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0009984970092773438,-0.0008420944213867188,0.000156402587890625
13,pre,mean_delta,2,4,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0016307830810546875,-0.0030155181884765625,-0.001384735107421875
13,pre,mean_delta,2,5,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0031890869140625,-0.007778167724609375,-0.004589080810546875
13,pre,mean_delta,2,6,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0111541748046875,-0.006988525390625,0.0041656494140625
13,pre,mean_delta,2,7,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00428009033203125,-0.002437591552734375,0.001842498779296875
13,pre,mean_delta,2,8,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.00269317626953125,-0.0032367706298828125,-0.0005435943603515625
13,pre,mean_delta,2,9,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.004230499267578125,-0.005146026611328125,-0.00091552734375
13,pre,mean_delta,2,10,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.003261566162109375,-0.003253936767578125,7.62939453125e-06
13,pre,mean_delta,2,11,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0028743743896484375,-0.0033779144287109375,-0.0005035400390625
13,pre,mean_delta,2,12,61,Invoke-Expression,1767.ps1,2019__seed_d4aff830a1c9__invoke_expression_format_string.ps1,-0.0026702880859375,-0.0032501220703125,-0.000579833984375
