filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
1611.ps1,malicious,malicious,BLOCK,BLOCK,10.4140625,True,152,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
4030.ps1,malicious,malicious,BLOCK,BLOCK,10.828125,True,152,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
1011.ps1,malicious,malicious,BLOCK,BLOCK,9.453125,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
2833.ps1,malicious,malicious,BLOCK,BLOCK,9.453125,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
3414.ps1,malicious,malicious,BLOCK,BLOCK,9.453125,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
1515.ps1,malicious,malicious,BLOCK,BLOCK,9.453125,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
1839.ps1,malicious,malicious,BLOCK,BLOCK,11.046875,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
1931.ps1,malicious,malicious,BLOCK,BLOCK,11.046875,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
3671.ps1,malicious,malicious,BLOCK,BLOCK,11.046875,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
2227.ps1,malicious,malicious,BLOCK,BLOCK,11.078125,True,147,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
3545.ps1,malicious,malicious,BLOCK,BLOCK,9.1328125,True,146,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
1946.ps1,malicious,malicious,BLOCK,BLOCK,10.3515625,True,144,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
3426.ps1,malicious,malicious,BLOCK,BLOCK,9.171875,True,143,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
1693.ps1,malicious,malicious,BLOCK,BLOCK,10.796875,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
179.ps1,malicious,malicious,BLOCK,BLOCK,9.6171875,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
2294.ps1,malicious,malicious,BLOCK,BLOCK,10.671875,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
2713.ps1,malicious,malicious,BLOCK,BLOCK,10.03125,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
2920.ps1,malicious,malicious,BLOCK,BLOCK,9.296875,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,0.875,False,975,False
1399.ps1,malicious,malicious,BLOCK,BLOCK,9.7109375,True,140,False
