filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1611.ps1,malicious,malicious,BLOCK,BLOCK,11.1171875,True,152,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
4030.ps1,malicious,malicious,BLOCK,BLOCK,11.140625,True,152,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1011.ps1,malicious,malicious,BLOCK,BLOCK,11.78125,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
2833.ps1,malicious,malicious,BLOCK,BLOCK,11.78125,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
3414.ps1,malicious,malicious,BLOCK,BLOCK,11.78125,True,151,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1515.ps1,malicious,malicious,BLOCK,BLOCK,11.65625,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1839.ps1,malicious,malicious,BLOCK,BLOCK,11.78125,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1931.ps1,malicious,malicious,BLOCK,BLOCK,11.78125,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
3671.ps1,malicious,malicious,BLOCK,BLOCK,11.78125,True,149,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
2227.ps1,malicious,malicious,BLOCK,BLOCK,12.171875,True,147,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
3545.ps1,malicious,malicious,BLOCK,BLOCK,10.8125,True,146,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1946.ps1,malicious,malicious,BLOCK,BLOCK,11.3515625,True,144,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
3426.ps1,malicious,malicious,BLOCK,BLOCK,10.859375,True,143,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1693.ps1,malicious,malicious,BLOCK,BLOCK,11.921875,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
179.ps1,malicious,malicious,BLOCK,BLOCK,11.7578125,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
2294.ps1,malicious,malicious,BLOCK,BLOCK,11.3359375,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
2713.ps1,malicious,malicious,BLOCK,BLOCK,11.453125,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
2920.ps1,malicious,malicious,BLOCK,BLOCK,10.1484375,True,141,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1399.ps1,malicious,malicious,BLOCK,BLOCK,11.203125,True,140,False
2670.ps1,benign,malicious,ALLOW,BLOCK,1.203125,False,975,False
1269.ps1,malicious,malicious,BLOCK,BLOCK,11.9296875,True,139,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
3084.ps1,malicious,malicious,BLOCK,BLOCK,10.3125,True,150,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
3278.ps1,malicious,malicious,BLOCK,BLOCK,9.6328125,True,127,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
2190.ps1,malicious,malicious,BLOCK,BLOCK,6.4921875,True,94,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
3804.ps1,malicious,malicious,BLOCK,BLOCK,6.4921875,True,94,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
2894.ps1,malicious,malicious,BLOCK,BLOCK,6.9453125,True,87,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
3100.ps1,malicious,malicious,BLOCK,BLOCK,8.359375,True,81,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
3438.ps1,malicious,malicious,BLOCK,BLOCK,10.3671875,True,81,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
3062.ps1,malicious,malicious,BLOCK,BLOCK,10.53125,True,78,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
338.ps1,malicious,malicious,BLOCK,BLOCK,10.75,True,78,False
1113.ps1,benign,benign,ALLOW,ALLOW,-0.5625,True,2146,False
450.ps1,malicious,malicious,BLOCK,BLOCK,6.2109375,True,75,False
