rank,token_pos,token_str,token_id,attention_weight,pair_idx,script_label,pair_indicator,prompt_len_tokens
0,807,'ToEnd',67673.0,0.111216,61,malicious,Invoke-Expression,813
1,802,']',60.0,0.083807,61,malicious,Invoke-Expression,813
2,810,'`\n',4077.0,0.079863,61,malicious,Invoke-Expression,813
3,805,')).',4682.0,0.060112,61,malicious,Invoke-Expression,813
4,804,'ASCII',57550.0,0.041282,61,malicious,Invoke-Expression,813
5,801,'.Encoding',59864.0,0.036718,61,malicious,Invoke-Expression,813
6,808,'();\n',545.0,0.035658,61,malicious,Invoke-Expression,813
7,811,'Answer',16533.0,0.034197,61,malicious,Invoke-Expression,813
8,812,':',25.0,0.027662,61,malicious,Invoke-Expression,813
9,795,'Dec',5005.0,0.026541,61,malicious,Invoke-Expression,813
10,809,'``',14196.0,0.021481,61,malicious,Invoke-Expression,813
11,782,'PM',8971.0,0.01884,61,malicious,Invoke-Expression,813
12,813,'',,0.018417,61,malicious,Invoke-Expression,813
13,793,']',60.0,0.018411,61,malicious,Invoke-Expression,813
14,791,'pression',4099.0,0.016373,61,malicious,Invoke-Expression,813
0,397,'`\n',4077.0,0.052304,61,benign,Invoke-Expression,400
1,355,'Expression',9790.0,0.048915,61,benign,Invoke-Expression,400
2,390,'Param',2044.0,0.033465,61,benign,Invoke-Expression,400
3,328,""" '$""",8412.0,0.026974,61,benign,Invoke-Expression,400
4,354,'.Invoke',33884.0,0.025229,61,benign,Invoke-Expression,400
5,310,' -',482.0,0.024356,61,benign,Invoke-Expression,400
6,351,'.Power',55186.0,0.02403,61,benign,Invoke-Expression,400
7,322,'-',12.0,0.023395,61,benign,Invoke-Expression,400
8,398,'Answer',16533.0,0.022396,61,benign,Invoke-Expression,400
9,370,'Param',2044.0,0.020723,61,benign,Invoke-Expression,400
10,385,'Parameter',5078.0,0.01996,61,benign,Invoke-Expression,400
11,399,':',25.0,0.018129,61,benign,Invoke-Expression,400
12,391,'Values',6359.0,0.016308,61,benign,Invoke-Expression,400
13,386,'Values',6359.0,0.015376,61,benign,Invoke-Expression,400
14,345,'Contained',69899.0,0.015362,61,benign,Invoke-Expression,400
0,807,'ToEnd',67673.0,0.111216,62,malicious,Invoke-Expression,813
1,802,']',60.0,0.083807,62,malicious,Invoke-Expression,813
2,810,'`\n',4077.0,0.079863,62,malicious,Invoke-Expression,813
3,805,')).',4682.0,0.060112,62,malicious,Invoke-Expression,813
4,804,'ASCII',57550.0,0.041282,62,malicious,Invoke-Expression,813
5,801,'.Encoding',59864.0,0.036718,62,malicious,Invoke-Expression,813
6,808,'();\n',545.0,0.035658,62,malicious,Invoke-Expression,813
7,811,'Answer',16533.0,0.034197,62,malicious,Invoke-Expression,813
8,812,':',25.0,0.027662,62,malicious,Invoke-Expression,813
