filename,label,predicted_label,target_token,predicted_token,logit_diff,correct,used_char_len,was_truncated
3321.ps1,malicious,malicious,BLOCK,BLOCK,6.703125,True,2527,
3943.ps1,malicious,malicious,BLOCK,BLOCK,7.171875,True,2941,
1269.ps1,malicious,malicious,BLOCK,BLOCK,9.8671875,True,139,
1399.ps1,malicious,malicious,BLOCK,BLOCK,9.2109375,True,140,
1693.ps1,malicious,malicious,BLOCK,BLOCK,9.21875,True,141,
179.ps1,malicious,malicious,BLOCK,BLOCK,8.359375,True,141,
450.ps1,malicious,malicious,BLOCK,BLOCK,3.75,True,75,
3062.ps1,malicious,malicious,BLOCK,BLOCK,7.9140625,True,78,
338.ps1,malicious,malicious,BLOCK,BLOCK,8.375,True,78,
3100.ps1,malicious,malicious,BLOCK,BLOCK,4.734375,True,81,
3537.ps1,malicious,malicious,BLOCK,BLOCK,4.859375,True,282,
3537.ps1,malicious,malicious,BLOCK,BLOCK,4.859375,True,282,
3780.ps1,malicious,malicious,BLOCK,BLOCK,4.8671875,True,499,
3780.ps1,malicious,malicious,BLOCK,BLOCK,4.8671875,True,499,
784.ps1,malicious,malicious,BLOCK,BLOCK,2.9921875,True,73,
784.ps1,malicious,malicious,BLOCK,BLOCK,2.9921875,True,73,
2115.ps1,malicious,malicious,BLOCK,BLOCK,2.9765625,True,78,
2115.ps1,malicious,malicious,BLOCK,BLOCK,2.9765625,True,78,
2019.ps1,malicious,malicious,BLOCK,BLOCK,3.015625,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,3.015625,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,3.015625,True,1173,
2019.ps1,malicious,malicious,BLOCK,BLOCK,3.015625,True,1173,
1362.ps1,malicious,malicious,BLOCK,BLOCK,3.4375,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,3.4375,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,3.4375,True,80,
1362.ps1,malicious,malicious,BLOCK,BLOCK,3.4375,True,80,
