rank,token_pos,token_str,token_id,attention_weight,pair_idx,script_label,pair_indicator,prompt_len_tokens
0,796,'ToEnd',67673,0.111609,61,malicious,Invoke-Expression,802
1,791,']',60,0.084174,61,malicious,Invoke-Expression,802
2,799,'`\n',4077,0.080184,61,malicious,Invoke-Expression,802
3,794,')).',4682,0.060374,61,malicious,Invoke-Expression,802
4,793,'ASCII',57550,0.041463,61,malicious,Invoke-Expression,802
5,790,'.Encoding',59864,0.036863,61,malicious,Invoke-Expression,802
6,797,'();\n',545,0.035806,61,malicious,Invoke-Expression,802
7,800,'Answer',16533,0.034362,61,malicious,Invoke-Expression,802
8,801,':',25,0.02778,61,malicious,Invoke-Expression,802
9,784,'Dec',5005,0.026659,61,malicious,Invoke-Expression,802
0,397,'`\n',4077,0.052304,61,benign,Invoke-Expression,400
1,355,'Expression',9790,0.048915,61,benign,Invoke-Expression,400
2,390,'Param',2044,0.033465,61,benign,Invoke-Expression,400
3,328,""" '$""",8412,0.026974,61,benign,Invoke-Expression,400
4,354,'.Invoke',33884,0.025229,61,benign,Invoke-Expression,400
5,310,' -',482,0.024356,61,benign,Invoke-Expression,400
6,351,'.Power',55186,0.02403,61,benign,Invoke-Expression,400
7,322,'-',12,0.023395,61,benign,Invoke-Expression,400
8,398,'Answer',16533,0.022396,61,benign,Invoke-Expression,400
9,370,'Param',2044,0.020723,61,benign,Invoke-Expression,400
0,796,'ToEnd',67673,0.111609,62,malicious,Invoke-Expression,802
1,791,']',60,0.084174,62,malicious,Invoke-Expression,802
2,799,'`\n',4077,0.080184,62,malicious,Invoke-Expression,802
3,794,')).',4682,0.060374,62,malicious,Invoke-Expression,802
4,793,'ASCII',57550,0.041463,62,malicious,Invoke-Expression,802
5,790,'.Encoding',59864,0.036863,62,malicious,Invoke-Expression,802
6,797,'();\n',545,0.035806,62,malicious,Invoke-Expression,802
7,800,'Answer',16533,0.034362,62,malicious,Invoke-Expression,802
8,801,':',25,0.02778,62,malicious,Invoke-Expression,802
9,784,'Dec',5005,0.026659,62,malicious,Invoke-Expression,802
0,342,'`\n',4077,0.054213,62,benign,Invoke-Expression,345
1,318,'-',12,0.050417,62,benign,Invoke-Expression,345
2,296,'-',12,0.04077,62,benign,Invoke-Expression,345
3,335,"'""\n'",702,0.038808,62,benign,Invoke-Expression,345
4,277,'-',12,0.033857,62,benign,Invoke-Expression,345
5,181,' -',482,0.031222,62,benign,Invoke-Expression,345
6,246,'($',703,0.027514,62,benign,Invoke-Expression,345
7,334,'name',609,0.023615,62,benign,Invoke-Expression,345
8,343,'Answer',16533,0.023256,62,benign,Invoke-Expression,345
9,329,"""'""",6,0.021142,62,benign,Invoke-Expression,345
0,796,'ToEnd',67673,0.111609,65,malicious,Invoke-Expression,802
1,791,']',60,0.084174,65,malicious,Invoke-Expression,802
2,799,'`\n',4077,0.080184,65,malicious,Invoke-Expression,802
3,794,')).',4682,0.060374,65,malicious,Invoke-Expression,802
4,793,'ASCII',57550,0.041463,65,malicious,Invoke-Expression,802
5,790,'.Encoding',59864,0.036863,65,malicious,Invoke-Expression,802
6,797,'();\n',545,0.035806,65,malicious,Invoke-Expression,802
7,800,'Answer',16533,0.034362,65,malicious,Invoke-Expression,802
8,801,':',25,0.02778,65,malicious,Invoke-Expression,802
9,784,'Dec',5005,0.026659,65,malicious,Invoke-Expression,802
0,299,' =',284,0.063787,65,benign,Invoke-Expression,310
1,307,'`\n',4077,0.05281,65,benign,Invoke-Expression,310
2,82,']\n',933,0.046934,65,benign,Invoke-Expression,310
3,302,'    \n',1084,0.035507,65,benign,Invoke-Expression,310
4,245,"'(""\\""'",40015,0.032959,65,benign,Invoke-Expression,310
5,291,'       ',286,0.031087,65,benign,Invoke-Expression,310
6,224,"'(""\\'",5026,0.030266,65,benign,Invoke-Expression,310
7,234,"'(""\\""'",40015,0.029303,65,benign,Invoke-Expression,310
8,134,"'(""\\""'",40015,0.024204,65,benign,Invoke-Expression,310
9,308,'Answer',16533,0.022636,65,benign,Invoke-Expression,310
0,796,'ToEnd',67673,0.111609,66,malicious,Invoke-Expression,802
1,791,']',60,0.084174,66,malicious,Invoke-Expression,802
2,799,'`\n',4077,0.080184,66,malicious,Invoke-Expression,802
3,794,')).',4682,0.060374,66,malicious,Invoke-Expression,802
4,793,'ASCII',57550,0.041463,66,malicious,Invoke-Expression,802
5,790,'.Encoding',59864,0.036863,66,malicious,Invoke-Expression,802
6,797,'();\n',545,0.035806,66,malicious,Invoke-Expression,802
7,800,'Answer',16533,0.034362,66,malicious,Invoke-Expression,802
8,801,':',25,0.02778,66,malicious,Invoke-Expression,802
9,784,'Dec',5005,0.026659,66,malicious,Invoke-Expression,802
0,121,']\n',933,0.052913,66,benign,Invoke-Expression,316
1,82,']\n',933,0.051168,66,benign,Invoke-Expression,316
2,313,'`\n',4077,0.049744,66,benign,Invoke-Expression,316
3,293,'-',12,0.046577,66,benign,Invoke-Expression,316
4,255,'($',703,0.042047,66,benign,Invoke-Expression,316
5,101,']\n',933,0.041404,66,benign,Invoke-Expression,316
6,238,'-',12,0.022285,66,benign,Invoke-Expression,316
7,314,'Answer',16533,0.021325,66,benign,Invoke-Expression,316
8,284,'Name',678,0.019217,66,benign,Invoke-Expression,316
9,302,'null',2994,0.017331,66,benign,Invoke-Expression,316
