rank,token_pos,token_str,token_id,attention_weight,pair_idx,script_label,pair_indicator,prompt_len_tokens
0,826,'ToEnd',67673,0.074238,61,malicious,Invoke-Expression,837
1,829,'`\n',4077,0.041706,61,malicious,Invoke-Expression,837
2,35,' as',439,0.035596,61,malicious,Invoke-Expression,837
3,821,']',60,0.033504,61,malicious,Invoke-Expression,837
4,823,'ASCII',57550,0.030709,61,malicious,Invoke-Expression,837
5,824,')).',4682,0.028951,61,malicious,Invoke-Expression,837
6,835,'<|end_header_id|>',128007,0.022494,61,malicious,Invoke-Expression,837
7,820,'.Encoding',59864,0.02127,61,malicious,Invoke-Expression,837
8,814,'Dec',5005,0.020047,61,malicious,Invoke-Expression,837
9,812,']',60,0.019295,61,malicious,Invoke-Expression,837
10,1,'<|start_header_id|>',128006,0.013657,61,malicious,Invoke-Expression,837
11,0,'<|begin_of_text|>',128000,0.013534,61,malicious,Invoke-Expression,837
12,827,'();\n',545,0.013069,61,malicious,Invoke-Expression,837
13,831,':',25,0.013011,61,malicious,Invoke-Expression,837
14,497,'F',37,0.012268,61,malicious,Invoke-Expression,837
0,385,'Expression',9790,0.040039,61,benign,Invoke-Expression,435
1,35,' as',439,0.026072,61,benign,Invoke-Expression,435
2,134,'Admin',7358,0.024395,61,benign,Invoke-Expression,435
3,358,""" '$""",8412,0.022506,61,benign,Invoke-Expression,435
4,427,'`\n',4077,0.020552,61,benign,Invoke-Expression,435
5,384,'.Invoke',33884,0.020039,61,benign,Invoke-Expression,435
6,148,'.Internal',33679,0.019704,61,benign,Invoke-Expression,435
7,340,' -',482,0.01872,61,benign,Invoke-Expression,435
8,305,']',60,0.018625,61,benign,Invoke-Expression,435
9,352,'-',12,0.01769,61,benign,Invoke-Expression,435
10,179,'.Internal',33679,0.017595,61,benign,Invoke-Expression,435
11,178,'.Automation',98217,0.016758,61,benign,Invoke-Expression,435
12,147,'.Automation',98217,0.016108,61,benign,Invoke-Expression,435
13,381,'.Power',55186,0.014706,61,benign,Invoke-Expression,435
14,119,"' ""'",330,0.014473,61,benign,Invoke-Expression,435
0,826,'ToEnd',67673,0.074238,62,malicious,Invoke-Expression,837
1,829,'`\n',4077,0.041706,62,malicious,Invoke-Expression,837
2,35,' as',439,0.035596,62,malicious,Invoke-Expression,837
3,821,']',60,0.033504,62,malicious,Invoke-Expression,837
4,823,'ASCII',57550,0.030709,62,malicious,Invoke-Expression,837
5,824,')).',4682,0.028951,62,malicious,Invoke-Expression,837
6,835,'<|end_header_id|>',128007,0.022494,62,malicious,Invoke-Expression,837
7,820,'.Encoding',59864,0.02127,62,malicious,Invoke-Expression,837
8,814,'Dec',5005,0.020047,62,malicious,Invoke-Expression,837
9,812,']',60,0.019295,62,malicious,Invoke-Expression,837
10,1,'<|start_header_id|>',128006,0.013657,62,malicious,Invoke-Expression,837
11,0,'<|begin_of_text|>',128000,0.013534,62,malicious,Invoke-Expression,837
12,827,'();\n',545,0.013069,62,malicious,Invoke-Expression,837
13,831,':',25,0.013011,62,malicious,Invoke-Expression,837
14,497,'F',37,0.012268,62,malicious,Invoke-Expression,837
0,35,' as',439,0.034963,62,benign,Invoke-Expression,380
1,211,' -',482,0.031551,62,benign,Invoke-Expression,380
2,372,'`\n',4077,0.024262,62,benign,Invoke-Expression,380
3,348,'-',12,0.023968,62,benign,Invoke-Expression,380
4,276,'($',703,0.021942,62,benign,Invoke-Expression,380
5,326,'-',12,0.019592,62,benign,Invoke-Expression,380
6,292,'\n',198,0.017719,62,benign,Invoke-Expression,380
7,82,'\n',198,0.017238,62,benign,Invoke-Expression,380
8,307,'-',12,0.01615,62,benign,Invoke-Expression,380
